Sucun_Islendigi_Il,Yil,Cinsiyet,Oldurme,Yaralama,Cinsel_Suclar,Kisiyi_Hurriyetinden_Yoksun_Kilma,Hakaret,Hirsizlik,Uyusturucu_Madde_Imal_ve_Ticareti,Uyusturucu_Madde_Kullanma_Satin_Alma,Kotu_Muamele,Kacakcilik,Silah_ve_Bicakli_Suclar,Tehdit
Kirsehir,2016,Erkek,17,65,7,2,19,56,26,9,0,23,7,29
Kirsehir,2016,Kadın,1,2,0,0,1,12,0,2,0,0,0,0
Kayseri,2016,Erkek,129,588,138,49,96,476,288,47,0,61,73,187
Kayseri,2016,Kadın,0,12,1,4,4,59,9,1,0,0,1,4
Sivas,2016,Erkek,51,188,51,13,33,121,87,5,0,38,39,81
Sivas,2016,Kadın,1,5,0,2,2,6,1,0,0,1,0,5
Yozgat,2016,Erkek,44,132,32,17,18,103,44,6,0,25,14,58
Yozgat,2016,Kadın,0,2,0,1,2,5,0,0,0,0,0,1
Zonguldak,2016,Erkek,50,235,66,25,38,153,48,5,0,9,16,122
Zonguldak,2016,Kadın,1,4,3,1,3,17,1,0,0,0,0,10
Karabuk,2016,Erkek,21,59,36,4,13,64,17,1,0,10,6,41
Karabuk,2016,Kadın,1,3,0,0,1,5,0,0,0,0,1,2
Bartin,2016,Erkek,22,51,19,17,12,48,9,4,0,5,4,25
Bartin,2016,Kadın,1,1,1,1,1,0,1,0,0,0,0,1
Kastamonu,2016,Erkek,33,108,43,11,15,82,26,3,0,12,13,62
Kastamonu,2016,Kadın,1,9,0,1,0,3,0,0,0,0,1,2
Cankiri,2016,Erkek,13,49,11,11,6,42,8,3,0,10,7,21
Cankiri,2016,Kadın,0,1,1,0,0,2,0,0,0,0,0,0
Sinop,2016,Erkek,18,74,34,18,18,49,21,1,1,10,6,41
Sinop,2016,Kadın,0,3,0,1,0,2,0,0,1,0,0,2
Samsun,2016,Erkek,153,425,110,73,59,405,178,79,0,42,102,241
Samsun,2016,Kadın,2,12,0,7,3,53,3,3,0,0,1,3
Tokat,2016,Erkek,52,152,51,26,23,129,46,3,1,25,36,110
Tokat,2016,Kadın,1,9,1,0,0,10,2,0,0,0,0,1
Corum,2016,Erkek,58,171,67,24,19,180,22,4,4,15,30,113
Corum,2016,Kadın,1,3,1,0,2,17,1,0,0,0,1,5
Amasya,2016,Erkek,33,130,17,14,12,99,17,3,0,12,14,60
Amasya,2016,Kadın,1,5,1,1,0,7,1,0,0,0,1,1
Trabzon,2016,Erkek,53,162,26,20,43,158,39,24,1,30,55,97
Trabzon,2016,Kadın,0,2,0,0,1,6,0,1,0,2,0,1
Ordu,2016,Erkek,61,294,68,56,41,197,44,26,0,15,44,141
Ordu,2016,Kadın,2,13,1,8,2,15,4,0,0,1,0,6
Giresun,2016,Erkek,38,158,24,26,21,80,20,6,0,8,28,113
Giresun,2016,Kadın,1,7,0,2,0,3,1,0,0,0,0,3
Rize,2016,Erkek,29,56,17,21,13,60,36,8,0,18,28,58
Rize,2016,Kadın,0,5,0,0,0,4,0,0,0,0,1,1
Artvin,2016,Erkek,6,38,13,7,7,43,13,2,0,20,6,14
Artvin,2016,Kadın,0,1,0,1,1,0,0,0,0,0,0,0
Gumushane,2016,Erkek,4,32,3,1,1,23,10,0,0,1,3,20
Gumushane,2016,Kadın,0,0,0,0,0,0,0,0,0,0,0,0
Erzurum,2016,Erkek,64,255,31,29,27,234,90,15,1,54,54,64
Erzurum,2016,Kadın,0,3,1,0,0,6,3,0,0,0,1,2
Erzincan,2016,Erkek,22,80,20,8,6,138,30,2,0,11,1,21
Erzincan,2016,Kadın,0,0,0,0,0,6,0,0,0,1,0,1
Bayburt ,2016,Erkek,4,14,8,2,2,9,7,0,0,4,1,9
Bayburt ,2016,Kadın,0,0,0,0,0,0,0,0,0,0,0,0
Ağri,2016,Erkek,49,110,22,6,13,79,61,1,1,62,31,37
Ağri,2016,Kadın,0,0,0,0,0,4,3,0,0,0,0,1
Kars,2016,Erkek,47,147,11,22,15,52,20,12,0,15,28,69
Kars,2016,Kadın,1,4,0,0,1,0,1,0,0,0,0,2
Igdir,2016,Erkek,24,120,22,12,9,68,25,5,0,32,12,31
Igdir,2016,Kadın,0,0,0,1,0,2,1,2,0,0,0,1
Ardahan,2016,Erkek,17,42,7,4,3,28,4,0,0,4,7,20
Ardahan,2016,Kadın,0,0,0,0,0,0,0,0,0,0,0,1
Malatya,2016,Erkek,64,162,37,12,27,239,165,25,0,41,46,75
Malatya,2016,Kadın,2,3,1,3,1,18,1,0,0,2,0,1
Elazig,2016,Erkek,72,191,41,24,19,190,200,19,0,45,21,66
Elazig,2016,Kadın,0,1,0,1,1,22,2,0,0,0,0,3
Bingol,2016,Erkek,12,35,12,19,5,52,65,9,2,9,7,11
Bingol,2016,Kadın,0,0,0,1,1,0,0,0,0,0,0,0
Tunceli,2016,Erkek,8,29,8,2,4,11,12,1,0,1,2,14
Tunceli,2016,Kadın,1,0,0,0,1,5,0,0,0,0,0,0
Van,2016,Erkek,60,169,24,17,12,213,282,25,0,205,68,64
Van,2016,Kadın,2,1,0,0,0,6,7,0,1,1,0,1
Mus,2016,Erkek,16,39,8,4,5,85,48,6,0,34,16,19
Mus,2016,Kadın,0,0,0,0,0,4,0,0,0,0,0,0
Bitlis,2016,Erkek,22,64,9,9,8,85,54,12,0,52,19,21
Bitlis,2016,Kadın,1,0,0,1,0,6,3,0,0,0,1,1
Hakkari,2016,Erkek,16,34,6,1,2,22,68,2,0,22,19,7
Hakkari,2016,Kadın,1,0,0,0,0,1,0,0,0,0,0,0
Gaziantep,2016,Erkek,253,627,82,61,46,759,381,67,0,158,186,191
Gaziantep,2016,Kadın,4,8,2,4,1,44,4,3,0,5,0,3
Adiyaman,2016,Erkek,34,77,24,6,10,132,85,16,3,15,22,41
Adiyaman,2016,Kadın,0,0,1,0,0,12,1,0,0,0,1,0
Kilis,2016,Erkek,19,30,6,2,6,53,50,16,0,24,7,8
Kilis,2016,Kadın,0,1,0,0,0,1,0,0,0,0,0,0
Sanliurfa,2016,Erkek,91,258,45,24,25,416,446,76,2,80,108,79
Sanliurfa,2016,Kadın,1,1,0,1,0,20,6,2,0,2,0,2
Diyarbakır,2016,Erkek,170,283,61,61,16,514,654,44,1,111,134,71
Diyarbakır,2016,Kadın,1,8,0,2,1,6,19,0,0,1,0,1
Mardin,2016,Erkek,62,112,29,20,8,126,77,13,0,39,39,30
Mardin,2016,Kadın,2,2,1,0,1,15,0,0,0,0,1,0
Batman,2016,Erkek,21,115,13,18,6,144,73,8,1,22,32,24
Batman,2016,Kadın,0,3,0,0,0,13,1,0,0,0,0,0
Sirnak,2016,Erkek,16,31,7,2,4,50,15,0,0,62,28,4
Sirnak,2016,Kadın,0,0,0,0,0,3,0,0,0,2,1,0
Siirt,2016,Erkek,19,45,19,1,2,71,14,6,0,20,15,7
Siirt,2016,Kadın,0,0,0,0,0,0,0,1,0,0,0,0
Istanbul ,2015,Erkek,1214,2587,624,239,286,4354,2239,1163,6,209,636,491
Istanbul ,2015,Kadın,36,39,3,6,14,277,120,9,0,3,7,3
Tekirdag,2015,Erkek,89,289,67,21,51,347,103,19,0,27,42,117
Tekirdag,2015,Kadın,3,5,0,0,2,26,10,0,0,0,0,2
Edirne,2015,Erkek,58,200,43,16,27,193,101,15,0,32,16,92
Edirne,2015,Kadın,1,8,0,0,2,8,6,0,0,0,0,0
Kirklareli ,2015,Erkek,46,161,43,18,26,175,72,7,0,24,16,59
Kirklareli ,2015,Kadın,0,1,2,0,1,16,4,0,0,0,0,1
Balikesir                  ,2015,Erkek,199,495,142,78,81,492,133,27,1,33,84,265
Balikesir                  ,2015,Kadın,3,10,2,5,9,49,13,1,0,1,0,13
Canakkale,2015,Erkek,58,200,37,28,28,210,18,11,0,17,13,102
Canakkale,2015,Kadın,2,5,1,2,4,21,1,0,0,2,0,2
İzmir ,2015,Erkek,527,1694,392,191,302,2762,871,481,6,236,301,576
İzmir ,2015,Kadın,7,41,4,2,13,186,39,4,0,5,5,13
Aydin,2015,Erkek,153,531,120,41,88,588,155,30,3,51,77,233
Aydin,2015,Kadın,2,11,0,1,2,38,14,1,1,0,0,5
Denizli ,2015,Erkek,158,430,132,59,65,477,108,21,0,39,55,196
Denizli ,2015,Kadın,2,13,5,0,5,45,9,2,0,0,1,3
Mugla,2015,Erkek,120,433,107,50,66,370,113,25,0,29,35,140
Mugla,2015,Kadın,3,6,2,0,2,24,3,0,0,1,1,5
Manisa,2015,Erkek,205,577,149,92,79,683,206,53,1,64,55,227
Manisa,2015,Kadın,5,25,1,3,2,40,9,3,0,2,2,6
Afyonkarahisar  ,2015,Erkek,108,231,70,38,23,218,54,14,0,27,23,92
Afyonkarahisar  ,2015,Kadın,5,9,2,3,0,22,9,1,0,0,0,4
Kutahya ,2015,Erkek,53,197,32,18,24,186,34,9,0,10,18,77
Kutahya ,2015,Kadın,0,5,1,1,2,14,3,0,1,0,0,4
Usak,2015,Erkek,58,142,39,19,11,131,86,8,0,11,13,69
Usak,2015,Kadın,2,4,0,1,4,7,4,1,0,0,1,2
Bursa,2015,Erkek,236,978,240,94,118,1175,271,88,0,58,188,256
Bursa,2015,Kadın,7,16,2,2,12,101,44,2,0,0,1,4
Eskisehir                 ,2015,Erkek,83,383,40,19,66,368,33,30,1,15,38,102
Eskisehir                 ,2015,Kadın,4,9,1,0,6,42,10,1,0,1,1,0
Bilecik,2015,Erkek,19,64,18,10,12,79,17,9,0,3,6,33
Bilecik,2015,Kadın,1,3,0,0,3,4,0,0,1,0,0,1
Kocaeli ,2015,Erkek,158,439,141,45,59,611,194,59,1,32,91,85
Kocaeli ,2015,Kadın,5,15,0,0,2,64,3,1,1,0,0,4
Sakarya,2015,Erkek,96,287,71,63,48,323,89,34,1,22,77,108
Sakarya,2015,Kadın,3,4,1,2,5,32,4,0,0,0,0,0
Duzce,2015,Erkek,57,180,44,39,14,154,68,7,0,8,30,54
Duzce,2015,Kadın,3,2,0,2,1,8,3,0,0,0,0,0
Bolu,2015,Erkek,24,143,22,8,16,95,38,3,0,6,4,30
Bolu,2015,Kadın,3,5,0,1,0,9,2,0,0,0,0,0
Yalova,2015,Erkek,15,66,23,5,18,108,41,9,0,3,21,18
Yalova,2015,Kadın,0,1,0,0,0,9,3,0,0,0,0,1
Ankara ,2015,Erkek,397,1273,248,98,138,1788,381,118,4,76,183,328
Ankara ,2015,Kadın,7,32,0,4,12,139,15,6,1,0,1,9
Konya,2015,Erkek,214,756,155,89,84,993,362,62,2,67,108,262
Konya,2015,Kadın,7,17,3,9,4,42,48,3,0,2,1,5
Karaman,2015,Erkek,47,131,24,15,19,95,43,5,0,11,12,53
Karaman,2015,Kadın,0,1,0,0,1,8,1,0,0,0,0,5
Antalya,2015,Erkek,310,969,234,130,145,1501,415,118,2,87,144,307
Antalya,2015,Kadın,11,29,1,6,12,84,32,2,0,1,0,7
Isparta,2015,Erkek,45,187,49,28,25,159,56,34,1,5,18,65
Isparta,2015,Kadın,0,3,1,1,1,16,6,5,0,0,0,6
Burdur,2015,Erkek,23,98,22,17,20,69,15,3,0,12,10,64
Burdur,2015,Kadın,3,2,0,0,1,4,0,1,0,0,0,1
Adana,2015,Erkek,288,839,139,97,94,1237,835,243,2,209,250,277
Adana,2015,Kadın,3,18,3,1,1,53,33,5,3,7,1,5
Mersin,2015,Erkek,270,643,130,67,79,896,422,109,1,99,101,219
Mersin,2015,Kadın,8,19,1,2,7,65,20,2,0,3,3,2
Hatay,2015,Erkek,131,378,86,51,45,466,262,60,1,251,83,120
Hatay,2015,Kadın,2,5,1,2,1,29,6,1,0,1,0,2
Kahramanmaras,2015,Erkek,107,252,90,56,27,322,114,28,0,65,33,112
Kahramanmaras,2015,Kadın,2,5,1,0,1,8,4,1,0,2,0,2
Osmaniye,2015,Erkek,70,183,37,17,18,219,147,23,1,24,31,87
Osmaniye,2015,Kadın,4,6,1,0,0,9,4,0,0,0,0,1
Kirikkale,2015,Erkek,30,72,18,9,5,94,37,2,0,8,12,29
Kirikkale,2015,Kadın,2,2,1,0,0,16,0,0,0,1,0,1
Aksaray,2015,Erkek,27,104,25,18,14,107,81,16,0,20,17,44
Aksaray,2015,Kadın,0,7,0,3,0,11,4,1,0,0,0,0
Nigde,2015,Erkek,39,160,35,35,18,91,21,17,0,14,12,55
Nigde,2015,Kadın,1,2,0,1,4,2,0,0,0,0,0,2
Nevsehir,2015,Erkek,65,151,35,14,17,88,19,6,0,9,9,56
Nevsehir,2015,Kadın,2,1,4,1,2,21,0,0,0,1,0,1
Kirsehir,2015,Erkek,26,83,14,6,10,71,14,4,0,20,5,33
Kirsehir,2015,Kadın,1,2,0,0,1,14,1,1,0,0,0,0
Kayseri,2015,Erkek,134,692,165,41,69,457,233,31,1,45,79,173
Kayseri,2015,Kadın,3,15,2,1,4,61,8,0,0,0,1,8
Sivas,2015,Erkek,68,191,52,20,29,148,67,5,1,41,28,72
Sivas,2015,Kadın,0,3,0,0,2,16,3,0,0,0,1,4
Yozgat,2015,Erkek,46,107,28,21,18,104,20,4,0,18,12,42
Yozgat,2015,Kadın,1,4,0,0,0,10,1,0,0,0,0,0
Zonguldak,2015,Erkek,62,244,76,37,23,159,29,17,0,9,26,109
Zonguldak,2015,Kadın,1,11,1,1,2,19,0,0,0,0,0,5
Karabuk,2015,Erkek,18,71,29,10,13,66,20,3,0,9,3,21
Karabuk,2015,Kadın,1,2,0,1,2,3,0,0,0,0,0,2
Bartin,2015,Erkek,15,57,12,11,4,35,7,1,0,4,4,30
Bartin,2015,Kadın,1,4,2,1,0,2,0,0,0,0,1,1
Kastamonu,2015,Erkek,53,133,31,15,22,72,15,8,0,12,14,49
Kastamonu,2015,Kadın,0,5,0,1,3,4,0,1,0,0,1,2
Cankiri,2015,Erkek,15,42,17,10,7,44,8,3,0,0,6,16
Cankiri,2015,Kadın,1,1,0,1,1,3,0,1,0,0,0,0
Sinop,2015,Erkek,18,68,31,14,11,50,13,2,1,5,12,40
Sinop,2015,Kadın,2,3,0,0,0,1,0,0,0,0,0,1
Samsun,2015,Erkek,182,516,134,62,76,373,139,56,0,31,124,201
Samsun,2015,Kadın,3,16,0,1,4,58,2,0,0,0,4,6
Tokat,2015,Erkek,63,177,53,19,24,133,37,3,0,15,22,82
Tokat,2015,Kadın,0,7,1,0,1,4,0,0,0,0,0,1
Corum,2015,Erkek,52,171,55,23,28,133,27,2,1,7,37,97
Corum,2015,Kadın,1,3,2,0,1,20,0,0,0,0,2,1
Amasya,2015,Erkek,36,121,21,17,22,95,9,1,0,7,20,73
Amasya,2015,Kadın,3,5,0,0,1,9,0,0,0,0,0,0
Trabzon,2015,Erkek,57,202,30,23,37,163,18,26,0,19,42,57
Trabzon,2015,Kadın,0,6,0,0,4,8,0,2,0,0,0,1
Ordu,2015,Erkek,53,300,71,50,34,156,37,14,2,14,47,103
Ordu,2015,Kadın,3,7,1,3,2,18,0,0,0,0,1,1
Giresun,2015,Erkek,42,137,37,16,27,91,21,4,2,4,35,63
Giresun,2015,Kadın,0,7,0,0,1,11,1,0,0,0,0,2
Rize,2015,Erkek,51,82,19,8,14,64,15,9,0,19,40,47
Rize,2015,Kadın,1,3,0,0,0,6,0,0,0,0,0,0
Artvin,2015,Erkek,14,40,12,6,7,39,11,1,0,11,6,10
Artvin,2015,Kadın,0,0,0,0,0,1,0,0,0,0,0,2
Gumushane,2015,Erkek,11,24,6,6,3,16,5,0,0,5,4,12
Gumushane,2015,Kadın,0,2,0,0,0,0,0,0,0,0,0,0
Erzurum,2015,Erkek,122,249,46,11,32,231,144,15,0,46,65,71
Erzurum,2015,Kadın,1,2,0,0,1,4,1,0,0,2,0,0
Erzincan,2015,Erkek,19,66,16,14,8,88,39,3,0,11,4,15
Erzincan,2015,Kadın,0,3,0,0,0,1,1,1,0,0,0,1
Bayburt ,2015,Erkek,1,15,3,3,2,10,3,3,0,6,4,5
Bayburt ,2015,Kadın,0,0,0,0,0,0,0,0,0,0,0,0
Ağri,2015,Erkek,44,111,13,13,7,86,55,3,1,53,20,34
Ağri,2015,Kadın,2,1,0,0,1,0,3,0,0,0,0,0
Kars,2015,Erkek,47,133,15,16,9,51,12,15,0,21,36,47
Kars,2015,Kadın,1,3,0,1,1,2,0,0,0,0,0,0
Igdir,2015,Erkek,21,90,13,16,4,32,14,6,0,16,16,22
Igdir,2015,Kadın,1,0,0,0,1,0,0,1,0,0,0,0
Ardahan,2015,Erkek,10,47,5,8,6,31,1,0,0,7,9,15
Ardahan,2015,Kadın,2,1,0,0,0,2,0,0,0,0,0,0
Malatya,2015,Erkek,85,185,32,17,17,246,132,16,0,23,65,77
Malatya,2015,Kadın,2,3,0,0,2,19,2,0,1,0,0,2
Elazig,2015,Erkek,75,218,24,11,11,178,192,13,0,45,31,43
Elazig,2015,Kadın,1,5,0,0,1,19,1,1,0,1,0,2
Bingol,2015,Erkek,15,42,5,23,2,60,76,3,0,7,6,17
Bingol,2015,Kadın,0,0,0,2,0,3,1,0,0,0,0,0
Tunceli,2015,Erkek,7,29,6,3,3,13,5,2,0,0,1,17
Tunceli,2015,Kadın,0,0,0,0,0,1,0,0,0,0,0,0
Van,2015,Erkek,77,136,24,5,13,203,189,16,0,172,41,54
Van,2015,Kadın,4,1,0,0,0,7,4,0,0,1,0,0
Mus,2015,Erkek,25,50,6,9,8,78,31,2,0,24,15,8
Mus,2015,Kadın,3,2,0,0,1,3,2,0,0,0,0,0
Bitlis,2015,Erkek,24,56,3,5,3,80,36,6,0,28,12,21
Bitlis,2015,Kadın,0,0,0,0,0,1,5,0,0,0,0,0
Hakkari,2015,Erkek,15,18,1,1,4,18,64,1,0,11,10,1
Hakkari,2015,Kadın,1,0,0,0,0,1,3,1,0,0,0,0
Gaziantep,2015,Erkek,292,641,91,52,38,736,353,73,0,182,156,175
Gaziantep,2015,Kadın,5,12,0,2,1,36,4,1,0,1,0,1
Adiyaman,2015,Erkek,22,67,11,7,7,91,45,15,0,21,16,22
Adiyaman,2015,Kadın,0,0,0,0,0,6,0,0,0,1,0,1
Kilis,2015,Erkek,19,26,17,1,3,45,39,14,0,35,9,7
Kilis,2015,Kadın,0,0,0,0,0,0,2,0,0,0,0,0
Sanliurfa,2015,Erkek,111,214,46,16,21,318,342,47,0,61,85,49
Sanliurfa,2015,Kadın,0,2,0,0,0,14,4,0,0,0,2,0
Diyarbakır,2015,Erkek,151,236,39,22,9,448,633,27,1,72,87,51
Diyarbakır,2015,Kadın,0,6,0,1,1,6,8,0,0,0,0,2
Mardin,2015,Erkek,51,83,25,18,9,124,92,14,0,28,24,20
Mardin,2015,Kadın,0,1,1,0,0,8,0,1,0,1,0,0
Batman,2015,Erkek,25,61,4,2,12,146,67,6,1,9,21,25
Batman,2015,Kadın,0,0,0,0,0,18,1,0,0,0,0,0
Sirnak,2015,Erkek,19,20,5,0,1,51,18,6,0,35,14,2
Sirnak,2015,Kadın,0,0,0,0,0,7,0,0,0,0,0,0
Siirt,2015,Erkek,17,41,20,4,2,59,18,2,0,7,13,12
Siirt,2015,Kadın,2,1,0,1,1,2,0,0,0,0,0,0
Istanbul ,2014,Erkek,1162,2234,530,266,233,4013,2315,796,6,137,771,382
Istanbul ,2014,Kadın,30,47,2,4,7,315,114,9,0,0,4,7
Tekirdag,2014,Erkek,89,265,80,48,41,341,81,20,1,16,34,88
Tekirdag,2014,Kadın,1,4,0,2,3,12,12,0,0,0,0,2
Edirne,2014,Erkek,62,202,55,24,29,226,94,3,0,26,17,74
Edirne,2014,Kadın,1,9,2,1,2,17,7,0,0,0,0,1
Kirklareli ,2014,Erkek,38,152,45,12,25,168,51,10,0,18,12,49
Kirklareli ,2014,Kadın,0,6,0,0,1,14,4,0,0,2,0,0
Balikesir                  ,2014,Erkek,219,569,130,104,76,534,114,10,1,21,132,219
Balikesir                  ,2014,Kadın,2,10,2,2,3,69,10,2,0,0,0,4
Canakkale,2014,Erkek,76,209,53,29,33,233,17,8,0,13,16,105
Canakkale,2014,Kadın,1,3,0,1,1,22,1,0,0,0,0,7
İzmir ,2014,Erkek,521,1680,374,237,248,2734,800,345,2,238,379,496
İzmir ,2014,Kadın,12,48,3,3,8,171,38,3,0,5,2,12
Aydin,2014,Erkek,173,695,119,53,119,620,104,24,2,31,73,216
Aydin,2014,Kadın,2,18,1,4,4,37,6,1,0,0,0,4
Denizli ,2014,Erkek,185,527,90,80,83,505,88,23,0,29,83,195
Denizli ,2014,Kadın,3,21,0,1,1,39,6,1,1,0,0,2
Mugla,2014,Erkek,112,454,117,40,70,367,111,15,2,26,54,124
Mugla,2014,Kadın,0,12,1,1,5,21,2,0,0,2,0,2
Manisa,2014,Erkek,171,676,193,109,87,695,257,34,3,48,63,216
Manisa,2014,Kadın,2,20,3,6,3,40,8,2,0,0,0,1
Afyonkarahisar  ,2014,Erkek,126,250,98,61,46,194,40,11,0,11,35,101
Afyonkarahisar  ,2014,Kadın,6,4,1,0,1,18,3,0,0,0,0,0
Kutahya ,2014,Erkek,47,192,46,24,25,198,23,3,1,10,13,83
Kutahya ,2014,Kadın,1,3,1,1,1,17,0,0,0,0,0,0
Usak,2014,Erkek,82,169,52,28,23,149,77,5,0,4,22,66
Usak,2014,Kadın,1,4,0,1,0,10,2,1,0,0,0,0
Bursa,2014,Erkek,256,913,244,119,122,1247,274,46,4,34,185,197
Bursa,2014,Kadın,7,11,1,2,3,108,47,1,0,1,2,4
Eskisehir                 ,2014,Erkek,88,386,64,31,57,384,36,16,3,14,41,90
Eskisehir                 ,2014,Kadın,2,11,1,2,3,45,3,0,0,0,0,1
Bilecik,2014,Erkek,24,88,24,15,11,91,14,5,0,10,14,15
Bilecik,2014,Kadın,0,3,0,0,0,5,0,0,0,0,0,3
Kocaeli ,2014,Erkek,198,466,129,62,58,654,152,31,2,29,123,88
Kocaeli ,2014,Kadın,1,8,1,1,4,73,3,1,0,0,1,1
Sakarya,2014,Erkek,107,325,88,33,45,321,94,24,2,19,103,86
Sakarya,2014,Kadın,3,10,0,1,1,23,3,0,0,0,0,0
Duzce,2014,Erkek,47,174,46,57,32,150,52,1,0,8,29,62
Duzce,2014,Kadın,0,7,0,0,0,11,0,0,0,0,0,2
Bolu,2014,Erkek,42,145,24,16,26,106,21,3,0,6,11,29
Bolu,2014,Kadın,0,2,0,1,0,9,1,0,0,0,0,0
Yalova,2014,Erkek,20,82,16,5,14,97,16,4,0,2,17,17
Yalova,2014,Kadın,1,2,0,0,2,10,0,0,0,0,0,1
Ankara ,2014,Erkek,476,1233,285,165,128,1678,349,85,3,66,217,260
Ankara ,2014,Kadın,12,19,1,1,6,133,11,7,0,2,4,1
Konya,2014,Erkek,203,720,147,114,106,829,221,52,5,68,103,254
Konya,2014,Kadın,8,15,3,8,3,36,21,0,0,2,2,4
Karaman,2014,Erkek,48,166,29,30,18,113,16,4,2,6,14,42
Karaman,2014,Kadın,1,2,0,0,0,6,2,0,0,0,0,0
Antalya,2014,Erkek,339,965,204,164,170,1475,346,63,3,73,148,257
Antalya,2014,Kadın,9,22,2,6,10,64,20,1,2,3,2,2
Isparta,2014,Erkek,62,184,35,31,31,137,45,17,1,7,14,49
Isparta,2014,Kadın,2,5,0,1,3,12,2,5,0,0,0,2
Burdur,2014,Erkek,22,103,9,12,25,76,10,2,0,16,14,44
Burdur,2014,Kadın,2,3,0,0,0,8,0,0,0,0,0,2
Adana,2014,Erkek,334,898,148,107,99,1219,938,236,2,180,220,226
Adana,2014,Kadın,5,25,3,1,6,46,27,10,1,6,0,3
Mersin,2014,Erkek,274,746,134,83,94,1001,406,117,1,120,113,216
Mersin,2014,Kadın,4,31,1,4,6,56,15,2,0,0,0,2
Hatay,2014,Erkek,139,374,88,67,34,524,269,58,0,284,68,99
Hatay,2014,Kadın,3,7,2,1,5,22,7,0,0,4,0,2
Kahramanmaras,2014,Erkek,120,337,98,50,32,305,94,36,2,80,45,96
Kahramanmaras,2014,Kadın,3,5,0,0,0,13,4,1,0,0,0,2
Osmaniye,2014,Erkek,70,198,47,26,26,218,140,14,0,36,23,62
Osmaniye,2014,Kadın,4,2,1,2,0,12,2,0,0,1,1,1
Kirikkale,2014,Erkek,36,105,17,20,10,88,26,0,0,9,19,17
Kirikkale,2014,Kadın,0,1,0,0,3,11,1,0,0,0,0,0
Aksaray,2014,Erkek,56,110,25,17,11,120,64,14,0,29,20,31
Aksaray,2014,Kadın,3,6,0,0,0,16,2,0,0,0,0,1
Nigde,2014,Erkek,61,183,30,34,25,100,25,10,0,16,17,42
Nigde,2014,Kadın,0,8,0,0,2,7,1,0,0,0,1,0
Nevsehir,2014,Erkek,43,131,39,10,27,54,14,2,0,9,10,59
Nevsehir,2014,Kadın,1,0,1,1,1,14,0,0,0,1,0,0
Kirsehir,2014,Erkek,25,81,19,8,8,67,17,4,0,10,14,21
Kirsehir,2014,Kadın,1,0,0,0,1,10,1,0,0,0,0,0
Kayseri,2014,Erkek,161,623,214,82,78,481,235,18,0,46,71,158
Kayseri,2014,Kadın,5,11,6,4,0,74,6,1,0,0,0,3
Sivas,2014,Erkek,86,259,71,18,33,156,68,6,1,9,33,58
Sivas,2014,Kadın,0,2,2,1,4,14,2,0,0,0,0,0
Yozgat,2014,Erkek,51,136,43,22,15,115,30,3,0,15,16,38
Yozgat,2014,Kadın,1,5,1,0,1,13,0,0,0,0,0,0
Zonguldak,2014,Erkek,65,300,65,45,56,172,24,7,1,10,47,89
Zonguldak,2014,Kadın,5,10,0,1,1,13,2,0,0,0,0,3
Karabuk,2014,Erkek,31,131,24,10,24,84,8,6,0,8,12,24
Karabuk,2014,Kadın,1,5,0,0,1,0,0,0,0,0,0,4
Bartin,2014,Erkek,18,76,25,20,9,36,6,0,0,4,4,27
Bartin,2014,Kadın,0,6,1,1,0,3,0,0,0,0,0,0
Kastamonu,2014,Erkek,66,124,43,18,28,52,26,5,0,6,27,45
Kastamonu,2014,Kadın,2,10,0,2,0,3,0,0,0,0,1,0
Cankiri,2014,Erkek,13,58,23,10,13,35,8,0,0,3,8,19
Cankiri,2014,Kadın,0,1,0,0,0,1,2,0,0,0,0,0
Sinop,2014,Erkek,29,78,20,21,18,54,14,2,0,0,26,37
Sinop,2014,Kadın,1,1,1,1,1,1,0,0,0,0,0,0
Samsun,2014,Erkek,217,525,115,91,81,382,119,38,3,38,154,164
Samsun,2014,Kadın,4,20,0,6,1,39,5,2,0,1,1,2
Tokat,2014,Erkek,54,199,48,28,28,147,16,9,0,10,37,58
Tokat,2014,Kadın,0,4,1,1,2,8,0,0,0,0,0,1
Corum,2014,Erkek,67,245,59,22,44,170,9,6,0,8,40,103
Corum,2014,Kadın,4,4,2,2,3,17,1,0,0,0,0,0
Amasya,2014,Erkek,45,101,31,22,25,100,5,0,0,8,16,51
Amasya,2014,Kadın,0,6,0,3,0,6,0,0,0,0,0,1
Trabzon,2014,Erkek,70,285,30,33,56,174,35,31,1,23,76,87
Trabzon,2014,Kadın,2,4,0,2,1,5,0,0,0,0,0,0
Ordu,2014,Erkek,86,322,76,62,51,149,37,9,2,7,62,99
Ordu,2014,Kadın,1,15,3,2,2,12,1,0,2,1,0,4
Giresun,2014,Erkek,54,243,53,30,48,90,15,3,0,5,50,74
Giresun,2014,Kadın,1,8,0,1,0,4,0,0,0,0,1,2
Rize,2014,Erkek,42,83,26,16,11,68,10,10,0,14,40,47
Rize,2014,Kadın,0,1,0,0,2,4,0,0,0,1,1,2
Artvin,2014,Erkek,8,37,4,7,8,30,6,1,0,10,5,8
Artvin,2014,Kadın,0,1,0,0,0,2,0,0,0,0,0,0
Gumushane,2014,Erkek,9,42,5,5,21,20,10,1,1,3,12,11
Gumushane,2014,Kadın,0,3,0,0,1,0,0,0,0,0,0,0
Erzurum,2014,Erkek,104,268,59,24,32,223,94,11,0,42,57,35
